##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
426.0789, 2284.620
426.5610, 2283.473
427.0431, 2282.030
427.5252, 2279.330
428.0074, 2274.631
428.4895, 2270.386
428.9716, 2267.012
429.4537, 2264.237
429.9358, 2261.333
430.4179, 2258.306
430.9001, 2255.100
431.3822, 2251.758
431.8643, 2248.283
432.3464, 2244.350
432.8285, 2239.876
433.3106, 2235.228
433.7928, 2230.597
434.2749, 2226.063
434.7570, 2222.356
435.2391, 2220.014
435.7212, 2218.397
436.2033, 2216.669
436.6855, 2214.773
437.1676, 2211.861
437.6497, 2206.665
438.1318, 2200.286
438.6139, 2194.091
439.0960, 2187.980
439.5782, 2183.256
440.0603, 2182.316
440.5424, 2183.407
441.0245, 2183.265
441.5066, 2179.796
441.9887, 2175.255
442.4709, 2170.369
442.9530, 2165.240
443.4351, 2161.224
443.9172, 2160.616
444.3993, 2160.256
444.8814, 2157.799
445.3636, 2150.441
445.8457, 2144.150
446.3278, 2140.447
446.8099, 2138.396
447.2920, 2135.559
447.7741, 2130.665
448.2563, 2126.360
448.7384, 2123.823
449.2205, 2123.421
449.7026, 2121.775
450.1847, 2118.623
450.6668, 2114.646
451.1490, 2110.197
451.6311, 2104.861
452.1132, 2100.826
452.5953, 2098.782
453.0774, 2097.953
453.5595, 2095.961
454.0417, 2092.655
454.5238, 2089.458
455.0059, 2086.874
455.4880, 2084.961
455.9701, 2084.268
456.4522, 2084.968
456.9344, 2085.778
457.4165, 2085.424
457.8986, 2084.074
458.3807, 2082.138
458.8628, 2079.208
459.3449, 2076.338
459.8271, 2074.778
460.3092, 2074.351
460.7913, 2074.246
461.2734, 2074.560
461.7555, 2074.659
462.2376, 2073.806
462.7198, 2071.653
463.2019, 2069.755
463.6840, 2069.367
464.1661, 2069.459
464.6482, 2068.785
465.1303, 2065.996
465.6125, 2063.427
466.0946, 2061.940
466.5767, 2061.369
467.0588, 2060.262
467.5409, 2058.135
468.0230, 2055.793
468.5052, 2053.604
468.9873, 2051.738
469.4694, 2049.634
469.9515, 2047.176
470.4336, 2044.629
470.9157, 2042.301
471.3979, 2040.201
471.8800, 2038.410
472.3621, 2036.890
472.8442, 2035.725
473.3263, 2035.311
473.8084, 2035.705
474.2906, 2036.385
474.7727, 2037.551
475.2548, 2038.825
475.7369, 2038.163
476.2190, 2035.053
476.7011, 2031.109
477.1833, 2027.457
477.6654, 2024.427
478.1475, 2022.947
478.6296, 2024.160
479.1117, 2026.586
479.5938, 2029.460
480.0760, 2032.560
480.5581, 2034.315
481.0402, 2033.442
481.5223, 2031.128
482.0044, 2027.910
482.4865, 2022.978
482.9687, 2019.753
483.4508, 2021.230
483.9329, 2024.639
484.4150, 2026.009
484.8971, 2022.234
485.3792, 2018.888
485.8614, 2017.390
486.3435, 2017.602
486.8256, 2017.710
487.3077, 2017.837
487.7898, 2017.714
488.2719, 2017.029
488.7541, 2015.305
489.2362, 2014.881
489.7183, 2016.650
490.2004, 2018.550
490.6825, 2016.562
491.1646, 2010.074
491.6468, 2005.938
492.1289, 2007.032
492.6110, 2011.407
493.0931, 2013.286
493.5752, 2012.698
494.0573, 2011.896
494.5395, 2012.597
495.0216, 2014.224
495.5037, 2015.900
495.9858, 2017.672
496.4679, 2018.455
496.9500, 2016.467
497.4322, 2012.938
497.9143, 2009.937
498.3964, 2008.109
498.8785, 2007.209
499.3606, 2007.776
499.8427, 2009.423
500.3249, 2010.298
500.8070, 2008.478
501.2891, 2006.745
501.7712, 2006.856
502.2533, 2010.107
502.7354, 2011.972
503.2176, 2011.368
503.6997, 2009.578
504.1818, 2007.788
504.6639, 2005.629
505.1460, 2004.132
505.6281, 2003.708
506.1103, 2003.975
506.5924, 2003.452
507.0745, 2001.915
507.5566, 2000.279
508.0387, 1999.057
508.5208, 1998.210
509.0030, 1996.978
509.4851, 1995.256
509.9672, 1993.759
510.4493, 1994.007
510.9314, 1995.264
511.4135, 1994.694
511.8957, 1990.647
512.3778, 1986.239
512.8599, 1985.767
513.3420, 1988.082
513.8242, 1989.759
514.3063, 1988.192
514.7884, 1985.935
515.2705, 1985.010
515.7526, 1985.566
516.2347, 1986.236
516.7169, 1987.141
517.1990, 1987.527
517.6811, 1986.767
518.1632, 1983.215
518.6453, 1980.549
519.1274, 1979.301
519.6096, 1979.093
520.0917, 1979.251
520.5738, 1979.351
521.0559, 1980.544
521.5380, 1983.744
522.0201, 1988.729
522.5023, 1991.575
522.9844, 1992.164
523.4665, 1990.982
523.9486, 1987.502
524.4307, 1981.907
524.9128, 1978.132
525.3950, 1976.569
525.8771, 1976.695
526.3592, 1978.902
526.8413, 1982.450
527.3234, 1984.709
527.8055, 1984.195
528.2877, 1982.361
528.7698, 1980.535
529.2519, 1978.753
529.7340, 1977.139
530.2161, 1975.723
530.6982, 1974.541
531.1804, 1973.897
531.6625, 1974.093
532.1446, 1973.327
532.6267, 1969.785
533.1088, 1965.656
533.5909, 1963.011
534.0731, 1963.148
534.5552, 1963.555
535.0373, 1964.193
535.5194, 1964.971
536.0015, 1965.775
536.4836, 1966.969
536.9658, 1967.379
537.4479, 1966.259
537.9300, 1963.702
538.4121, 1962.025
538.8942, 1961.254
539.3763, 1961.187
539.8585, 1962.016
540.3406, 1963.514
540.8227, 1964.463
541.3048, 1964.693
541.7869, 1964.386
542.2690, 1963.469
542.7512, 1962.185
543.2333, 1961.161
543.7154, 1961.286
544.1975, 1961.260
544.6796, 1959.944
545.1617, 1957.523
545.6439, 1954.848
546.1260, 1950.535
546.6081, 1947.452
547.0902, 1947.930
547.5723, 1953.391
548.0544, 1957.413
548.5366, 1959.028
549.0187, 1958.880
549.5008, 1957.490
549.9829, 1954.140
550.4650, 1950.814
550.9471, 1947.376
551.4293, 1944.235
551.9114, 1942.319
552.3935, 1941.754
552.8756, 1941.876
553.3577, 1942.706
553.8398, 1944.025
554.3220, 1944.913
554.8041, 1945.376
555.2862, 1945.281
555.7683, 1944.192
556.2504, 1942.533
556.7325, 1941.069
557.2147, 1939.872
557.6968, 1939.014
558.1789, 1938.699
558.6610, 1938.718
559.1431, 1938.767
559.6252, 1938.832
560.1074, 1938.786
560.5895, 1938.535
561.0716, 1938.109
561.5537, 1937.639
562.0358, 1937.789
562.5179, 1937.245
563.0001, 1935.021
563.4822, 1930.783
563.9643, 1928.738
564.4464, 1929.924
564.9285, 1931.858
565.4106, 1932.722
565.8928, 1932.367
566.3749, 1931.976
566.8570, 1931.648
567.3391, 1931.299
567.8212, 1930.709
568.3033, 1929.926
568.7855, 1929.331
569.2676, 1929.017
569.7497, 1928.983
570.2318, 1929.434
570.7139, 1930.225
571.1960, 1930.777
571.6782, 1931.247
572.1603, 1930.981
572.6424, 1928.683
573.1245, 1924.011
573.6066, 1921.093
574.0887, 1923.049
574.5709, 1926.454
575.0530, 1928.656
575.5351, 1929.110
576.0172, 1928.611
576.4993, 1926.127
576.9814, 1923.232
577.4636, 1922.753
577.9457, 1925.858
578.4278, 1928.302
578.9099, 1929.031
