##NAMES=Bastnasite-(Ce)
##RRUFFID=R050409
##IDEAL CHEMISTRY=CeCO_3_F
##LOCALITY=Machni, near Warsak Dam, Zagi Mountain, North-West Frontier Province, Pakistan
##OWNER=RRUFF
##SOURCE=G.R. Rossman
##DESCRIPTION=Yellowish brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050409
##MEASURED CHEMISTRY=(Ce_0.54_(La,Pr)_0.25_Nd_0.21_)_Σ=1_CO_3_F_1.00_
897.695, 5195.000
898.964, 5246.000
900.232, 5324.000
901.499, 5155.000
902.767, 5279.000
904.034, 5294.000
905.301, 5383.000
906.568, 5407.000
907.835, 5463.000
909.102, 5391.000
910.368, 5376.000
911.634, 5455.000
912.900, 5455.000
914.166, 5488.000
915.432, 5437.000
916.697, 5473.416
917.962, 5474.000
919.227, 5493.000
920.492, 5546.000
921.757, 5529.000
923.021, 5643.000
924.285, 5675.000
925.550, 5629.000
926.813, 5581.000
928.077, 5626.000
929.341, 5681.000
930.604, 5582.000
931.867, 5665.000
933.130, 5699.000
934.393, 5707.000
935.655, 5664.000
936.918, 5813.000
938.180, 5760.000
939.442, 5875.000
940.703, 5729.000
941.965, 5762.000
943.226, 5829.000
944.488, 5724.000
945.749, 5771.000
947.009, 5753.000
948.270, 5812.000
949.530, 5727.000
950.791, 5800.000
952.051, 5800.000
953.311, 5842.000
954.570, 5806.000
955.830, 5772.000
957.089, 5783.000
958.348, 5835.000
959.607, 5851.000
960.866, 5864.000
962.124, 5871.000
963.383, 5874.996
964.641, 5876.949
965.899, 5877.000
967.156, 5875.000
968.414, 5881.722
969.671, 5885.000
970.928, 5875.000
972.185, 5848.000
973.442, 5858.000
974.699, 5993.000
975.955, 5931.000
977.211, 5947.000
978.468, 5978.000
979.723, 5868.000
980.979, 5970.000
982.234, 5972.000
983.490, 5984.000
984.745, 6068.000
986.000, 5954.000
987.254, 6048.000
988.509, 6056.000
989.763, 6016.000
991.017, 6064.000
992.271, 6020.000
993.525, 6048.862
994.779, 6091.000
996.032, 6101.000
997.285, 6103.000
998.538, 6146.000
999.791, 6113.000
1001.044, 6134.000
1002.296, 6222.000
1003.548, 6073.000
1004.800, 6157.000
1006.052, 6099.000
1007.304, 6147.000
1008.555, 6190.000
1009.807, 6167.000
1011.058, 6162.000
1012.309, 6194.000
1013.559, 6240.000
1014.810, 6272.000
1016.060, 6257.000
1017.310, 6171.000
1018.560, 6257.000
1019.810, 6220.000
1021.060, 6156.000
1022.309, 6209.000
1023.558, 6266.000
1024.807, 6215.000
1026.056, 6299.000
1027.305, 6266.000
1028.553, 6277.000
1029.801, 6269.000
1031.049, 6320.000
1032.297, 6354.000
1033.545, 6304.000
1034.793, 6294.000
1036.040, 6322.708
1037.287, 6342.000
1038.534, 6375.000
1039.781, 6400.000
1041.027, 6429.000
1042.274, 6456.000
1043.520, 6438.000
1044.766, 6509.000
1046.012, 6502.000
1047.257, 6417.000
1048.503, 6420.000
1049.748, 6471.000
1050.993, 6537.000
1052.238, 6448.000
1053.483, 6569.000
1054.727, 6572.000
1055.971, 6524.000
1057.216, 6514.000
1058.459, 6508.938
1059.703, 6547.000
1060.947, 6521.000
1062.190, 6615.000
1063.433, 6666.000
1064.676, 6694.000
1065.919, 6684.000
1067.162, 6662.000
1068.404, 6727.000
1069.646, 6904.000
1070.888, 6764.000
1072.130, 6903.000
1073.372, 7061.000
1074.613, 7035.000
1075.855, 6948.000
1077.096, 6961.000
1078.337, 7010.000
1079.578, 7122.000
1080.818, 7197.000
1082.059, 7237.000
1083.299, 7428.000
1084.539, 7627.000
1085.779, 8140.000
1087.018, 8632.000
1088.258, 9704.000
1089.497, 11294.000
1090.736, 13652.000
1091.975, 17034.000
1093.213, 22100.000
1094.452, 30657.000
1095.690, 44244.000
1096.928, 58895.000
1098.166, 57333.000
1099.404, 40358.000
1100.642, 22035.000
1101.879, 13544.000
1103.116, 10223.000
1104.353, 8987.000
1105.590, 8508.000
1106.827, 7965.000
1108.063, 7650.000
1109.299, 7584.000
1110.536, 7449.000
1111.771, 7330.000
1113.007, 7274.000
1114.243, 7152.000
1115.478, 7177.000
1116.713, 7153.000
1117.948, 7180.000
1119.183, 7052.000
1120.418, 7065.000
1121.652, 7034.000
1122.886, 7035.000
1124.120, 7108.000
1125.354, 7022.000
1126.588, 7041.000
1127.821, 6950.000
1129.055, 6994.000
1130.288, 7004.000
1131.521, 7060.000
