##NAMES=Shigaite
##RRUFFID=R080090
##IDEAL CHEMISTRY=NaAl_3_Mn^2+^_6_(S^6+^O_4_)_2_(OH)_18_&#183;12H_2_O
##LOCALITY=Ioi Mine, Shiga Prefecture, Kinki Region, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Semi-transparent, dull-yellow to pale yellow coating
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080090
546.0253, 189.5694
546.5074, 188.7796
546.9896, 187.7244
547.4717, 186.5752
547.9538, 185.4638
548.4359, 184.1869
548.9180, 183.2674
549.4001, 183.1235
549.8823, 183.2399
550.3644, 182.6812
550.8465, 180.9218
551.3286, 179.4744
551.8107, 178.7732
552.2928, 178.7187
552.7750, 178.6044
553.2571, 178.4178
553.7392, 178.2339
554.2213, 178.1203
554.7034, 178.0589
555.1855, 177.9766
555.6677, 177.8855
556.1498, 177.6486
556.6319, 176.8854
557.1140, 175.8945
557.5961, 175.3346
558.0782, 175.5844
558.5604, 175.9979
559.0425, 176.0710
559.5246, 175.9094
560.0067, 175.7460
560.4888, 175.5912
560.9709, 175.5338
561.4531, 175.6394
561.9352, 175.9085
562.4173, 176.2009
562.8994, 176.4485
563.3815, 176.7586
563.8636, 177.2161
564.3458, 177.9471
564.8279, 178.4689
565.3100, 178.7181
565.7921, 178.8479
566.2742, 179.0797
566.7563, 179.4410
567.2385, 179.6155
567.7206, 179.4213
568.2027, 179.1457
568.6848, 179.5050
569.1669, 180.4267
569.6490, 181.3383
570.1312, 181.8493
570.6133, 182.2135
571.0954, 182.8605
571.5775, 183.7810
572.0596, 184.5775
572.5417, 185.0055
573.0239, 185.2018
573.5060, 185.2221
573.9881, 184.9389
574.4702, 184.8673
574.9523, 185.3334
575.4344, 186.0352
575.9166, 186.5851
576.3987, 186.8965
576.8808, 187.1471
577.3629, 187.3731
577.8450, 187.5509
578.3271, 187.5936
578.8093, 187.4653
579.2914, 187.2955
579.7735, 187.0619
580.2556, 186.8070
580.7377, 186.9766
581.2198, 187.6139
581.7020, 188.1648
582.1841, 188.1003
582.6662, 187.6056
583.1483, 187.0398
583.6304, 186.4060
584.1125, 185.9947
584.5947, 186.3228
585.0768, 186.9753
585.5589, 187.3404
586.0410, 186.9330
586.5231, 186.5173
587.0052, 186.4729
587.4874, 186.6724
587.9695, 186.7686
588.4516, 186.6518
588.9337, 186.4710
589.4158, 186.1840
589.8979, 185.7887
590.3801, 185.7621
590.8622, 186.2184
591.3443, 186.8392
591.8264, 187.4712
592.3085, 188.1253
592.7906, 188.5564
593.2728, 188.6933
593.7549, 188.8242
594.2370, 189.4169
594.7191, 190.3226
595.2012, 190.9222
595.6833, 190.9331
596.1655, 190.8482
596.6476, 191.2391
597.1297, 191.9551
597.6118, 192.6555
598.0939, 193.1034
598.5760, 193.5722
599.0582, 194.3018
599.5403, 195.2427
600.0224, 196.0057
600.5045, 196.3073
600.9866, 196.5884
