##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M00815
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
909.8200, 4003.977
910.9450, 4216.340
912.0700, 4105.826
913.1940, 4148.414
914.3190, 4049.150
915.4430, 3947.959
916.5680, 3945.850
917.6920, 3753.840
918.8150, 3639.891
919.9390, 3662.004
921.0630, 3514.180
922.1860, 3173.418
923.3100, 3376.715
924.4330, 3193.066
925.5560, 2901.469
926.6780, 2919.930
927.8010, 2558.445
928.9230, 2954.020
930.0460, 2599.645
931.1680, 2535.332
932.2900, 2170.102
933.4120, 2001.965
934.5330, 1941.949
935.6550, 1511.047
936.7760, 1352.898
937.8970, 1339.359
939.0180, 1227.766
940.1390, 918.4688
941.2600, 994.5352
942.3810, 751.9453
943.5010, 424.1133
944.6210, 579.4258
945.7410, 900.3555
946.8610, 702.9570
947.9810, 750.6914
949.1010, 567.6055
950.2200, 589.6016
951.3390, 547.7383
952.4580, 667.9492
953.5770, 756.2266
954.6960, 1037.617
955.8150, 1185.070
956.9330, 1294.621
958.0520, 1329.242
959.1700, 1273.926
960.2880, 1321.004
961.4050, 1822.508
962.5230, 1411.402
963.6410, 1795.367
964.7580, 2108.418
965.8750, 2118.535
966.9920, 2317.727
968.1090, 2446.988
969.2260, 2539.316
970.3420, 2676.020
971.4590, 2769.789
972.5750, 2852.730
973.6910, 2978.340
974.8070, 3016.023
975.9230, 3141.777
977.0380, 3592.602
978.1540, 3684.500
979.2690, 3902.465
980.3840, 3841.508
981.4990, 4459.621
982.6140, 4584.809
983.7280, 5201.066
984.8430, 5699.395
985.9570, 5941.801
987.0710, 6222.273
988.1850, 6601.820
