"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Structural Groupname"
"Ansermetite","Ansermetite","Mn2+V5+2O6·4H2O"," "
"Antarcticite","Antarcticite","CaCl2·6H2O"," "
"Anthoinite","Anthoinite","AlWO3(OH)3","Anthoinite"
"Anthonyite","Anthonyite","Cu(OH)2·3H2O","Anthonyite"
"Anthophyllite","Anthophyllite","[box]Mg2Mg5Si8O22(OH)2","Amphibole"
"Antigorite","Antigorite","Mg3Si2O5(OH)4","Clay"
"Antimonselite","Antimonselite","Sb2Se3","Stibnite"
"Antimony","Antimony","Sb","Arsenic"
"Antipinite","Antipinite","KNa3Cu2(C2O4)4","Oxalate"
"Antlerite","Antlerite","Cu2+3(SO4)(OH)4"," "
"Antofagastaite","Antofagastaite","Na2Ca(SO4)2·1.5H2O","Syngenite"
"Anyuiite","Anyuiite","AuPb2","Khatyrkite"
"Anzaite-(Ce)","Anzaite-(Ce)","Ce4Fe2+Ti6O18(OH)2"," "
"Apachite","Apachite","Cu2+9Si10O29·11H2O"," "
"Apexite","Apexite","NaMg(PO4)·9H2O","Struvite"
"Aphthitalite","Aphthitalite","K3Na(SO4)2","Aphthitalite"
"Apjohnite","Apjohnite","Mn2+Al2(SO4)4·22H2O","Halotrichite"
"Aplowite","Aplowite","Co(SO4)·4H2O","Starkeyite"
"Apuanite","Apuanite","(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S","Trippkeite"
"Aqualite","Aqualite","(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl","Eudialyte"
"Aradite","Aradite","BaCa6[(SiO4)(VO4)](VO4)2F","Zadovite"
"Aragonite","Aragonite","Ca(CO3)","Aragonite"
"Arakiite","Arakiite","ZnMn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23","Hematolite"
"Aramayoite","Aramayoite","Ag3Sb2(Bi,Sb)S6","Aramayoite"
"Arangasite","Arangasite","Al2(SO4)(PO4)F·9H2O"," "
"Arapovite","Arapovite","(K1-x[box]x)(Ca,Na)2U4+Si8O20 [x ≈ 0.5]","Steacyite"
"Aravaipaite","Aravaipaite","Pb3AlF9·H2O","Aravaipaite"
"Aravaite","Aravaite","Ba2Ca18(SiO4)6(PO4)3(CO3)F3O"," "
"Arcanite","Arcanite","K2(SO4)","Arcanite"
"Archerite","Archerite","H2K(PO4)","Biphosphammite"
"Arctite","Arctite","(Na5Ca)Ca6Ba(PO4)6F3"," "
"Arcubisite","Arcubisite","Ag6CuBiS4"," "
"Ardaite","Ardaite","Pb17Sb15S35Cl9","Madocite"
"Ardealite","Ardealite","Ca2(PO3OH)(SO4)·4H2O","Gypsum"
"Ardennite-(As)","Ardennite-(As)","Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6","Ardennite"
"Ardennite-(V)","Ardennite-(V)","Mn2+4Al4(AlMg)(VO4)(SiO4)2(Si3O10)(OH)6","Ardennite"
"Arfvedsonite","Arfvedsonite","NaNa2(Fe2+4Fe3+)Si8O22(OH)2","Amphibole"
"Argandite","Argandite","Mn7(VO4)2(OH)8","Allactite"
"Argentobaumhauerite","Argentobaumhauerite","Ag1.5Pb22As33.5S72","Sartorite"
"Argentodufrénoysite","Argentodufrenoysite","Ag3Pb26As35S80","Sartorite"
"Argentojarosite","Argentojarosite","AgFe3+3(SO4)2(OH)6","Alunite-Alunite"
"Argentoliveingite","Argentoliveingite","AgxPb40-2xAs48+xS112 (3 < x < 4)","Sartorite"
"Argentopearceite","Argentopearceite","Ag16As2S11","Polybasite"
"Argentopentlandite","Argentopentlandite","Ag(Fe,Ni)8S8","Pentlandite"
"Argentopyrite","Argentopyrite","AgFe2S3","Cubanite"
"Argentotennantite-(Zn)","Argentotennantite-(Zn)","Ag6(Cu4Zn2)As4S13","Tetrahedrite"
"Argentotetrahedrite-(Fe)","Argentotetrahedrite-(Fe)","Ag6(Cu4Fe2)Sb4S13","Tetrahedrite"
"Argentotetrahedrite-(Hg)","Argentotetrahedrite-(Hg)","Ag6(Cu4Hg2)Sb4S13","Tetrahedrite"
"Argentotetrahedrite-(Zn)","Argentotetrahedrite-(Zn)","Ag6(Cu4Zn2)Sb4S13","Tetrahedrite"
"Argesite","Argesite","(NH4)7Bi3Cl16"," "
"Argutite","Argutite","GeO2","Rutile"
"Argyrodite","Argyrodite","Ag8GeS6","Argyrodite"
"Arhbarite","Arhbarite","Cu2Mg(AsO4)(OH)3","Gilmarite"
"Ariegilatite","Ariegilatite","BaCa12(SiO4)4(PO4)2F2O","Nabimusaite"
"Arisite-(Ce)","Arisite-(Ce)","NaCe2(CO3)2[F2x(CO3)1-x]F","Arisite"
"Arisite-(La)","Arisite-(La)","NaLa2(CO3)2[F2x(CO3)1-x]F","Arisite"
"Aristarainite","Aristarainite","Na2Mg[B6O8(OH)4]2·4H2O"," "
"Armalcolite","Armalcolite","(Mg,Fe2+)Ti2O5","Pseudobrookite"
"Armangite","Armangite","Mn2+26[As3+6(OH)4O14][As3+6O18]2(CO3)"," "
"Armbrusterite","Armbrusterite","Na6K5Mn3+Mn2+14(Si9O22)4(OH)10·4H2O"," "
"Armellinoite-(Ce)","Armellinoite-(Ce)","Ca4Ce4+(AsO4)4·H2O","Pottsite"
"Armenite","Armenite","BaCa2(Al6Si9)O30·2H2O","Milarite"
"Armstrongite","Armstrongite","CaZr(Si6O15)·2H2O"," "
"Arrheniusite-(Ce)","Arrheniusite-(Ce)","CaMg[(Ce7Y3)Ca5](SiO4)3(Si3B3O18)(AsO4)(BO3)F11","Okanoganite"
"Arrojadite-(BaFe)","Arrojadite-(BaFe)","BaFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Arrojadite"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH)2","Arrojadite"
"Arrojadite-(KFe)","Arrojadite-(KFe)","(KNa)Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Arrojadite"
"Arrojadite-(KNa)","Arrojadite-(KNa)","KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Arrojadite"
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","PbFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Arrojadite"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","SrFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Arrojadite"
"Arsenatrotitanite","Arsenatrotitanite","NaTi(AsO4)O","Titanite"
"Arsenbrackebuschite","Arsenbrackebuschite","Pb2(Fe3+,Zn)(AsO4)2(OH,H2O)","Brackebuschite"
"Arsendescloizite","Arsendescloizite","PbZn(AsO4)(OH)","Adelite"
"Arsenic","Arsenic","As","Arsenic"
"Arseniopleite","Arseniopleite","NaCaMnMn2(AsO4)3","Alluaudite"
"Arseniosiderite","Arseniosiderite","Ca2Fe3+3O2(AsO4)3·3H2O","Arseniosiderite"
"Arsenmarcobaldiite","Arsenmarcobaldiite","Pb12(As3.2Sb2.8)Σ6S21","Geocronite"
"Arsenmedaite","Arsenmedaite","Mn2+6As5+Si5O18(OH)","Medaite"
"Arsenoclasite","Arsenoclasite","Mn2+5(AsO4)2(OH)4","Arsenoclasite"
"Arsenocrandallite","Arsenocrandallite","CaAl3(AsO4)(AsO3OH)(OH)6","Alunite-crandallite"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","CeAl3(AsO4)2(OH)6","Alunite-crandallite"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","LaAl3(AsO4)2(OH)6","Alunite-crandallite"
"Arsenogorceixite","Arsenogorceixite","BaAl3(AsO4)(AsO3OH)(OH)6","Alunite-crandallite"
"Arsenogoyazite","Arsenogoyazite","SrAl3(AsO4)(AsO3OH)(OH)6","Alunite-crandallite"
"Arsenohauchecornite","Arsenohauchecornite","Ni18Bi3AsS16","hauchecornite"
"Arsenohopeite","Arsenohopeite","Zn3(AsO4)2·4H2O","Hopeite"
"Arsenolamprite","Arsenolamprite","As"," "
"Arsenolite","Arsenolite","As2O3","Arsenolite"
"Arsenopalladinite","Arsenopalladinite","Pd8As3","Stillwaterite"
"Arsenopyrite","Arsenopyrite","FeAsS","Arsenopyrite"
"Arsenotučekite","Arsenotucekite","Ni18Sb3AsS16","hauchecornite"
"Arsenovanmeersscheite","Arsenovanmeersscheite","U(UO2)3(AsO4)2(OH)6·4H2O"," "
"Arsenowagnerite","Arsenowagnerite","Mg2(AsO4)F","Wagnerite"
"Arsenquatrandorite","Arsenquatrandorite","Ag17.6Pb12.8Sb38.1As11.5S96","Lillianite"
"Arsentsumebite","Arsentsumebite","Pb2Cu(AsO4)(SO4)(OH)","Brackebuschite"
"Arsenudinaite","Arsenudinaite","NaMg4(AsO4)3"," "
"Arsenuranospathite","Arsenuranospathite","Al(UO2)2(AsO4)2F·20H2O"," "
"Arsenuranylite","Arsenuranylite","Ca(UO2)4(AsO4)2(OH)4·6H2O","Phosphuranylite"
"Arsiccioite","Arsiccioite","AgHg2TlAs2S6","Routhierite"
"Arsmirandite","Arsmirandite","Na18Cu12Fe3+O8(AsO4)8Cl5","Arsmirandite"
"Arthurite","Arthurite","CuFe3+2(AsO4)2(OH)2·4H2O","Arthurite"
"Artinite","Artinite","Mg2(CO3)(OH)2·3H2O","Artinite"
"Artroeite","Artroeite","PbAlF3(OH)2"," "
"Artsmithite","Artsmithite","Hg1+4Al(PO4)1.74(OH)1.78"," "
"Arupite","Arupite","Ni3(PO4)2·8H2O","Vivianite"
